ID,species,Lat_y,Long_x
22585,bihai,18.01,-71.206111
22586,bihai,18.01,-71.206111
22588,bihai,16.045833,-61.640833
22592,bihai,16.190833,-61.738056
22648,bihai,15.343889,-61.310278
22708,bihai,10.348386,-67.684414
22709,bihai,10.683483,-61.289072
22725,bihai,10.362119,-67.683361
22726,bihai,10.400919,-67.759828
22729,bihai,4.805336,-52.363628
22730,bihai,,
22736,bihai,10.683483,-61.289072
23230,bihai,15.339444,-61.332778
23242,bihai,15.458333,-61.411389
23251,bihai,15.38,-61.341667
23269,bihai,13.967778,-60.950556
23274,bihai,13.923611,-60.960278
23279,bihai,13.206667,-61.226111
23283,bihai,,
23292,bihai,13.848611,-60.976111
