Species,PolSyn_Color,Hue,Ratio_MidTop,Ratio_BotTop,Peduncule,L_corolla,L_corollaTube,Vol_ovary,Area_anther,L_stamen,L_corollaOpening,stamenExsertion,W_corollaTube_widest,W_corollaTube_narrowest,Ratio_Lcorolla_StraightestLine,Peduncle_Log,W_corollaTube_widest,W_corollaTube_narrowest,L_corollaOpening,Ratio_widest_narrowest,PC1,PC2,PC3,PC4,PolSyn_Coarse,Hue,Bicolored,Orientation,Fruit,Elevation,Inflo,,
Centropogon_luteus_52                     ,1,bright,0.691358025,0.407407407,59,42,36,600,12,46,7,10,10.5,6,1,4.077537444,10.5,6,7,0.571428571,0.962722208,1.730880982,-0.983344,0.66985148,1,bright,yes,horizontal,berry,2321.8,solitary,,
Centropogon_luteynii_LL125                ,1,bright,0.760869565,0.434782609,50,36,26,125,10,30,3,9,6,3,1,3.912023005,6,3,3,0.5,-1.920272936,0.931759714,-0.2285526,1.4852944,1,bright,no,horizontal,berry,2086.3,raceme,,
Centropogon_macbridei_LL165               ,1,bright,0.780487805,0.414634146,74,54,41.5,661.25,34,54.5,7,15.5,9.5,5,1,4.304065093,9.5,5,7,0.526315789,3.918250999,1.991396673,-0.133635,0.1674338,1,bright,yes,vertical,berry,3100,solitary,,
Centropogon_macrocarpus_53                ,2,dull,0.388235294,0.663529412,164,27,11.5,1470.33,48,33,13.5,13,5,5,1,5.099866428,5,5,13.5,1,1.36186486,-8.477751454,-2.7469128,2.83830903,2,dull,no,vertical,berry,3451.5,solitary,,
Centropogon_macrophyllus_LL169            ,3,bright,0.5375,0.2875,30,31,16.5,405,17.875,29.5,5,10,5.5,5,0.967544176,3.401197382,5.5,5,5,0.909090909,-2.617711525,0.343576214,-3.4506351,2.71680825,1,bright,no,vertical,berry,1486.538462,solitary,,
Centropogon_magnificus_LL107              ,1,bright,0.833333333,0.65625,128,44,30,1611.504,81.25,60,11.5,25.5,8,6,1,4.852030264,8,6,11.5,0.75,6.334078994,-3.510582579,1.2764859,1.23660715,1,bright,no,horizontal,berry,3332,solitary,,
Centropogon_mandonis_54                   ,1,bright,0.8125,0.616071429,183,44.4,28,2704.5,58.5,57,11.5,31,10,7,1,5.209486153,10,7,11.5,0.7,7.338727168,-4.418392417,1.2962646,2.89312471,1,bright,no,horizontal,berry,3089.1,solitary,,
Centropogon_mandonis_LL86                 ,1,bright,0.777777778,0.777777778,151,51,32,1454.75,70,65.88,12,8,10.5,6.5,1,5.017279837,10.5,6.5,12,0.619047619,7.103401783,-3.928286196,0.9310694,-0.2393528,1,bright,no,horizontal,berry,3089.1,solitary,,
Centropogon_minimus_LL203                 ,1,bright,0.9375,0.4,14.5,13.9,12.31,29.403,3.92,13.2,3.3,0,4.5,1.8,1,2.674148649,4.5,1.8,3.3,0.4,-6.571583564,0.336562984,1.1429724,3.12292766,3,bright,no,horizontal,berry,3089.1,solitary,,
Centropogon_nervosus_LL193                ,1,bright,1,0.333333333,70,57,35,180,30,54,7,25,11,6,1,4.248495242,11,6,7,0.545454545,2.898838221,3.282995523,1.4547015,0.36389256,1,bright,yes,vertical,berry,2550,solitary,,
Centropogon_palmanus_LL35                 ,1,bright,0.689655172,0.448275862,65,35,25,137.5,8.75,30.5,6.5,8,6.5,2,1,4.17438727,6.5,6,2,0.923076923,-1.786295487,0.308190124,-0.7038959,1.66238901,1,bright,no,horizontal,berry,1281.1,solitary,,
Centropogon_panamensis_LL129              ,3,bright,0.406015038,0.496240602,20,35,31,400,27,32,15,5,13,6,0.873176918,2.995732274,12,9,10,0.75,-1.339694642,-1.210213476,-8.2470849,-2.23179158,1,bright,no,vertical,berry,658.3913043,solitary,,
Centropogon_perlongus_LL194               ,2,dull,0.53125,0.59375,135,75,38,3920,68,75,17,40,11,9,1,4.905274778,11,9,?,0.818181818,12.28230394,-3.974957212,-2.0424124,0.62893707,2,dull,no,horizontal,berry,3025,solitary,,
Centropogon_peruvianus_LL246              ,2,dull,0.8,0.8,110,29,14,2704,55,42,18,25,14,9,1,4.700480366,14,9,18,0.642857143,2.735675158,-6.487800662,1.0462572,2.30699482,2,dull,no,horizontal,berry,2924,solitary,,
Centropogon_pichinchensis_56              ,1,bright,1.193181818,0.795454545,62.5,30.5,27.5,650.25,15.75,29,6,9,9.5,5.5,0.992226972,4.135166557,9.5,5.5,6,0.578947368,-1.686861023,-0.978711861,3.6398825,-0.62783761,1,bright,yes,horizontal,berry,2871.6,raceme,,
Centropogon_preslii_57                    ,1,bright,0.774647887,0.295774648,104,37,32,700,14,49,8,17,8,5,0.95998446,4.644390899,8,5,8,0.625,1.461445071,1.731697889,-1.4920528,1.67563486,1,bright,yes,horizontal,berry,3192.8,solitary,,
Centropogon_pulcher_LL168                 ,3,bright,0.361904762,0.476190476,15,46,18,320,27,55,11.5,20,6,5,0.889757914,2.708050201,6,5,11.5,0.833333333,-0.151875193,-1.171213319,-8.4843027,-2.95036057,1,bright,yes,vertical,berry,966.6666667,solitary,,
Centropogon_reticulatus_LL54              ,1,bright,0.607142857,0.339285714,75,49,34,576,24,50,8,19,8,2,1,4.317488114,8,2,8,0.25,2.405152518,1.5415435,-1.6095548,1.33840296,1,bright,yes,horizontal,berry,2735,solitary,,
Centropogon_rex_LL207,2,dull,0.437735849,0.724528302,139,49,25,1089,63,52,18,28,14,7.5,1,4.934473933,14,7.5,18,0.535714286,4.798370492,-6.157525618,-2.5458297,-0.11046519,2,dull,no,horizontal,berry,1871.923077,solitary,,
Centropogon_roseus_LL216                  ,3,bright,0.425675676,0.304054054,15,42,21,245,12,33,5,10,6,3,0.88,2.708050201,6,3,5,0.5,-2.070402542,1.067529589,-7.86887,-0.38026362,1,bright,no,vertical,berry,666.5,solitary,,
Centropogon_salviiformis_LL70             ,1,bright,0.730434783,0.434782609,50.2,26,22.5,356.4,12.9375,26,4.5,10.5,7.5,2.75,0.992345,3.916015027,7.5,2.75,4.5,0.366666667,-2.803112486,-0.095785057,-0.6474131,2.23100358,1,bright,yes,horizontal,berry,2689.3,raceme,,
Centropogon_simulans_LL248                ,2,dull,0.592307692,0.592307692,120,38,11,3600,75,44,10,20,12,12,0.991298,4.787491743,12,12,10,1,5.404241552,-7.299292496,-1.2531626,4.36275821,2,dull,no,vertical,berry,3175,solitary,,
Centropogon_smithii_LL6                   ,2,dull,0.554471545,0.674796748,200,43,20,3757,120,56,21,21,20.5,10,1,5.298317367,20.5,10,21,0.487804878,10.43038824,-9.848829402,-0.5122567,4.6604245,2,dull,no,horizontal,berry,2159,solitary,,
Centropogon_sodiroanus_LL72               ,1,bright,0.721311475,0.344262295,41,49,47,324,10,52,6,8,8,2.5,1,3.713572067,8,2.5,6,0.3125,1.949835631,4.008056154,-1.0394487,-0.40821022,1,bright,no,horizontal,berry,1960,solitary,,
Centropogon_solanifolius_LL200            ,1,bright,0.707964602,0.389380531,21.5,47,40,433.5,40,54,14,10,13,5,0.96703854,3.068052935,14,5,14.5,0.357142857,2.284707782,2.413641335,-2.2538597,-0.77588385,1,bright,yes,vertical,berry,2052.3,solitary,,
Centropogon_solanifolius_LL26             ,1,bright,0.646551724,0.413793103,35,38,30,256,19.6,46,17,11,16,3.5,0.963947126,3.555348061,16,3.5,17,0.21875,-0.305153538,1.391752429,-2.7485128,-0.10591516,1,bright,yes,vertical,berry,2052.3,solitary,,
Centropogon_sp_LL238                      ,1,bright,0.733333333,0.4,57,34.2,29,786.5,14.4,43,8,12.5,8.75,6,1,4.043051268,8.75,6,8,0.685714286,-0.045748392,0.928123971,-0.5698334,1.58285159,1,bright,yes,horizontal,berry,2496.666667,solitary,,
