taxa_name,pectoral_fin,pelvic_fin,pectoral_inferred,pelvic_inferred,pectoral_propagated,pelvic_propagated,paired_fin
Sprattus_muelleri,1,?,1,?,1,0,3
Fundulus_saguanus,1,?,2,?,1,0,3
Trichomycterus_jacupiranga,1,?,1,?,1,0,3
Grammatobothus_polyophthalmus,1,1,1,1,1,1,3
Takifugu_xanthopterus,1,1,1,2,1,1,3
Cinetodus_conorhynchus,1,1,2,2,0,0,3
Chasmistes_brevirostris,?,1,?,2,0,0,3
Cranoglanis_bouderius,1,1,2,2,0,0,3
Hemisilurus_heterorhynchus,1,?,1,?,1,0,3
Thymallus_thymallus,1,1,2,2,0,0,3
Ilisha_melastoma,1,1,1,1,1,0,3
Perrunichthys_perruno,1,?,2,?,1,0,3
Myctophum_nitidulum,?,1,?,2,0,1,3
Imparfinis_nemacheir,1,1,2,2,0,0,3
Zaireichthys_camerunensis,1,1,2,2,1,0,3
Pseudotriacanthus_strigilifer,1,1,2,1,0,0,3
Rhabdoblennius_ellipes,1,?,1,?,1,0,3
Corymbophanes_kaiei,1,1,2,2,0,0,3
Lycenchelys_remissaria,1,?,1,?,1,0,3
Moringua_arundinacea,0,0,0,0,1,1,0
Artedius_lateralis,1,?,1,?,1,0,3
Melanorivulus_apiamici,1,?,1,?,1,0,3
Symphurus_maldivensis,0,0,0,0,1,1,0
Hypostomus_uruguayensis,1,?,2,?,1,0,3
Trigla_lyra,1,?,1,?,1,0,3
Ageneiosus_militaris,1,?,2,?,1,0,3
Diaphus_theta,?,1,?,2,0,1,3
Myersglanis_blythii,1,?,2,?,1,0,3
Stethojulis_bandanensis,1,?,1,?,1,0,3
Prionurus_scalprum,1,1,1,1,1,1,3
Bodianus_masudai,1,?,1,?,1,0,3
Anarhichas_denticulatus,1,0,1,0,1,1,2
Rhinichthys_osculus,1,1,2,2,0,0,3
Pterygotrigla_picta,1,?,1,?,1,0,3
Sternarchorhynchus_curvirostris,1,0,1,0,1,1,2
Asterorhombus_cocosensis,1,1,1,1,1,1,3
Halieutaea_retifera,1,?,2,?,1,0,3
Chlorophthalmus_brasiliensis,?,1,?,2,0,1,3
Clariallabes_attemsi,1,?,1,?,1,0,3
Allocareproctus_jordani,1,?,1,?,1,0,3
Rhynchactis_macrothrix,1,0,1,0,1,1,2
Stephanolepis_cirrhifer,1,0,1,0,1,1,2
Heterocheirodon_yatai,?,1,?,2,0,1,3
Xenocephalus_elongatus,1,?,2,?,1,0,3
Aphanius_sureyanus,1,?,1,?,1,0,3
Brevoortia_patronus,1,?,1,?,1,0,3
Cirrhilabrus_temminckii,1,1,2,2,1,1,3
Rineloricaria_anitae,1,?,2,?,1,0,3
Algansea_barbata,1,1,2,2,0,0,3
Corydoras_metae,1,?,2,?,0,0,3
Stichaeus_punctatus,1,?,1,?,1,0,3
Ancistrus_maculatus,1,?,2,?,1,0,3
Hypsopanchax_catenatus,1,?,2,?,1,0,3
Adontosternarchus_nebulosus,1,0,1,0,1,1,2
Cynolebias_attenuatus,1,?,1,?,1,0,3
Liparis_ochotensis,1,?,1,?,1,0,3
Bodianus_unimaculatus,1,?,1,?,1,0,3
Arnoglossus_dalgleishi,1,1,1,1,1,1,3
Catostomus_bernardini,?,1,?,2,0,0,3
Aphyosemion_riggenbachi,1,?,2,?,1,0,3
Astronesthes_psychrolutes,?,1,?,1,0,1,3
Anguilla_obscura,1,0,1,0,1,1,2
Bellingshausenia_olasoi,1,?,1,?,1,0,3
Lycodes_cortezianus,1,?,1,?,1,0,3
Atherinomorus_stipes,?,1,?,2,0,0,3
Cirrhilabrus_joanallenae,1,1,2,2,1,1,3
Nemadoras_humeralis,1,?,2,?,1,0,3
Hippocampus_mohnikei,?,0,?,0,0,1,2
Neoodax_balteatus,1,?,1,?,1,0,3
Trachinotus_carolinus,1,?,1,?,1,0,3
Bellator_farrago,1,?,1,?,1,0,3
Pareiorhina_brachyrhyncha,1,?,2,?,1,0,3
Lamontichthys_parakana,1,?,2,?,1,0,3
Acanthurus_sohal,1,1,1,1,1,1,3
Aphyosemion_fulgens,1,?,2,?,1,0,3
Trichomycterus_duellmani,1,?,1,?,1,0,3
Acestridium_martini,1,?,2,?,1,0,3
Astronesthes_formosana,?,1,?,1,0,1,3
Careproctus_lacmi,1,?,1,?,1,0,3
Squaliforma_horrida,1,?,2,?,1,0,3
Brachionichthys_hirsutus,1,?,2,?,1,0,3
Lycenchelys_cicatrifer,1,?,1,?,1,0,3
Synodontis_nummifer,1,?,2,?,1,0,3
Omobranchus_punctatus,1,?,1,?,1,0,3
Chrysichthys_ornatus,1,1,2,2,0,0,3
Notoliparis_macquariensis,1,?,1,?,1,0,3
Eutelichthys_leptochirus,1,?,1,?,1,0,3
Cetichthys_parini,1,0,2,0,1,1,2
Lebiasina_bimaculata,1,1,2,1,0,0,3
Loricariichthys_nudirostris,1,?,2,?,1,0,3
Malthopsis_mitrigera,1,?,2,?,1,0,3
Microphis_retzii,?,0,?,0,0,1,2
Bathophilus_kingi,?,1,?,1,0,1,3
Rhynchocypris_percnurus,1,?,2,?,1,0,3
